Gene_id	KO_1	KO_2	KO_3	KO_4	WT_1	WT_2	WT_3	WT_4
15S_rRNA	23	31	28	22	36	20	24	35
21S_rRNA	73	58	68	60	62	57	52	63
HRA1	20	18	22	16	17	21	19	12
ICR1	59	74	73	68	66	76	55	67
LSR1	19	25	23	21	24	27	14	22
NME1	4	6	3	3	7	10	4	4
PWR1	36	37	29	40	32	29	27	47
Q0010	6	0	4	4	3	4	3	4
Q0017	0	1	0	0	0	0	0	0
Q0032	4	4	7	4	6	3	5	3
Q0045	22	26	23	18	16	11	10	13
Q0050	256	268	231	274	264	249	254	250
Q0055	220	253	219	231	235	223	155	202
Q0060	68	63	68	79	65	69	76	69
Q0065	54	37	47	54	46	48	52	37
Q0070	42	42	28	36	33	36	28	34
Q0075	30	45	37	40	45	42	41	40
Q0080	0	1	2	1	2	1	1	0
Q0085	13	14	7	14	15	18	12	8
Q0092	2	2	3	1	1	1	5	2
Q0105	13	10	9	7	11	9	8	9
Q0110	59	64	77	62	62	57	59	61
Q0115	50	59	56	57	71	68	62	66
Q0120	38	42	43	34	35	35	29	27
Q0130	2	1	2	1	1	4	1	3
Q0140	22	19	14	16	16	24	19	25
Q0142	3	4	0	2	6	1	2	2
Q0143	3	2	4	2	1	2	4	1
Q0144	1	6	3	6	6	2	1	4
Q0160	32	20	20	24	33	19	16	35
Q0182	4	3	0	5	6	2	3	5
Q0250	16	8	16	6	15	11	14	9
Q0255	20	18	37	25	33	22	25	21
Q0275	15	9	12	12	12	9	10	14
Q0297	0	0	0	0	0	0	0	0
RDN18-1	0	0	0	0	0	0	0	0
RDN18-2	0	0	0	0	0	0	0	0
RDN25-1	0	0	0	0	0	0	0	0
RDN25-2	0	0	0	0	0	0	0	0
RDN37-1	0	0	0	0	0	0	0	0
RDN37-2	0	0	0	0	0	0	0	0
RDN5-1	0	0	0	0	0	0	0	0
RDN5-2	0	0	0	0	0	0	0	0
RDN5-3	0	0	0	0	0	0	0	0
RDN5-4	0	0	0	0	0	0	0	0
RDN5-5	0	0	0	0	0	0	0	0
RDN5-6	0	0	0	0	0	0	0	0
RDN58-1	0	0	0	0	0	0	0	0
RDN58-2	0	0	0	0	0	0	0	0
